The Shawshank Redemption,9.3,1994,Drama,142,https://www.youtube.com/watch?v=6hB3S9bIaco
The Godfather,9.2,1972,Drama,175,https://www.youtube.com/watch?v=sY1S34973zA
The Dark Knight,9.0,2008,Aksiyon,152,https://www.youtube.com/watch?v=EXeTwQWrcwY
The Godfather: Part II,9.0,1974,Drama,202,https://www.youtube.com/watch?v=9O1Iy9od7-A
12 Angry Men,8.9,1957,Drama,96,https://www.youtube.com/watch?v=A7CBKT0PWFA
Schindler's List,8.9,1993,Drama,195,https://www.youtube.com/watch?v=JdRGC-w9syA
The Lord of the Rings: The Return of the King,8.9,2003,Macera,201,https://www.youtube.com/watch?v=r5X-hFf6Bwo
Pulp Fiction,8.9,1994,Suç,154,https://www.youtube.com/watch?v=s7EdQ4FqbhY
The Lord of the Rings: The Fellowship of the Ring,8.8,2001,Macera,178,https://www.youtube.com/watch?v=V75dMMIW2B4
Forrest Gump,8.8,1994,Komedi,142,https://www.youtube.com/watch?v=uPIEn0M8su0
Inception,8.8,2010,Aksiyon,148,https://www.youtube.com/watch?v=YoHD9XEInc0
Fight Club,8.8,1999,Drama,139,https://www.youtube.com/watch?v=SUXWAEX2jlg
The Lord of the Rings: The Two Towers,8.7,2002,Macera,179,https://www.youtube.com/watch?v=LbfMDwc4azU
Star Wars: Episode V - The Empire Strikes Back,8.7,1980,Aksiyon,124,https://www.youtube.com/watch?v=JNwNXF9Y6kY
The Matrix,8.7,1999,Aksiyon,136,https://www.youtube.com/watch?v=m8e-FF8MsqU
Goodfellas,8.7,1990,Suç,146,https://www.youtube.com/watch?v=qo5jJpHtI1Y
Se7en,8.6,1995,Suç,127,https://www.youtube.com/watch?v=J4YV2_TcCoE
City of God,8.6,2002,Suç,130,https://www.youtube.com/watch?v=dcUOO4Itgmw
Saving Private Ryan,8.6,1998,Savaş,169,https://www.youtube.com/watch?v=RYID71hYHzg
Monty Python and the Holy Grail,8.0,1975,Komedi,91,https://www.youtube.com/watch?v=urRkGvhXc8w
Toy Story,8.0,1995,Animasyon,81,https://www.youtube.com/watch?v=KYz2wyBy3kc
Vertigo,8.0,1958,Gizem,128,https://www.youtube.com/watch?v=D7rlUe-Thvk
Indiana Jones and the Raiders of the Lost Ark,8.0,1981,Macera,115,https://www.youtube.com/watch?v=XkkzKHCx154
The Green Book,8.0,2018,Biyografi,130,https://www.youtube.com/watch?v=uC-_Gon2p9M
Coco,7.9,2017,Animasyon,105,https://www.youtube.com/watch?v=xlnPHQ3TLX8
